,bib,id,name,rank,speed,split1,split2,split3,split4,split5,start,start_rev,status,uci,r_points
0,2,2002,ATHERTON Rachel,1,,51.093,92.842,135.011,186.012,221.141,10,8,Finished,10003434487,200
1,1,2001,NICOLE Myriam,2,,51.993,93.25,135.512,185.509,221.779,13,5,Finished,10004535237,160
2,6,2006,HANNAH Tracey,3,,52.512,94.542,137.55,190.704,225.118,16,2,Finished,10003732258,140
3,9,2009,HRASTNIK Monika,4,,55.303,99.647,142.596,194.214,229.597,14,4,Finished,10017602955,125
4,7,2007,SIEGENTHALER Emilie,5,,54.994,98.833,143.45,195.311,232.78,15,3,Finished,10004167243,110
5,14,2014,A'HERN Sian,6,,56.584,101.212,145.064,197.991,234.589,8,10,Finished,10010802043,95
6,8,2008,CURD Katy,7,,55.653,100.184,143.485,197.396,236.154,11,7,Finished,10006044292,80
7,12,2012,WIDMANN Veronika,8,,56.446,100.356,145.657,200.892,237.631,7,11,Finished,10007423312,70
8,11,2011,CAPPELLARI Carina,9,,57.129,102.445,147.406,201.415,238.208,4,14,Finished,10006911535,60
9,29,2029,BARTOVA Jana,10,,56.907,101.551,145.074,201.15,239.904,3,15,Finished,10007709763,55
10,4,2004,CABIROU Marine,11,,58.361,104.181,147.22,201.998,240.655,9,9,Finished,10009563069,45
11,10,2010,SALAZAR Mariana,12,,54.735,104.797,149.821,206.705,243.56,12,6,Finished,10007687838,35
12,37,2037,BALANCHE Camille,13,,57.276,102.568,147.244,210.89,250.047,1,17,Finished,10016567984,25
13,15,2015,RUBESAM Sandra,14,,75.198,119.256,165.139,219.952,258.827,2,16,Finished,10052523258,15
14,19,2019,HOFFMANN Nina Charlott,15,,76.764,121.498,166.436,220.964,259.262,6,12,Finished,10015887065,5
