uci,qspeed
10007414016,51.834
10003732258,50.985
10004167243,49.485
10017602955,49.485
10004535237,50.493
10010802043,48.959
10007423312,48.000
10007687838,46.706
10006044292,47.339
10015887065,47.339
10006989842,50.207
10006911535,47.486
10007709763,49.741
10052523258,44.453
10016567984,47.378
10003434487,49.859
10059628813,46.191
10006981455,46.228
10005872726,47.643
10008826980,47.574
10007401686,45.805
10011213786,48.424
10010670384,48.434
10054388890,45.660
10007478074,43.276
10008176878,46.782
10011008066,46.517
10008084326,47.040
10008589635,45.552
10010936631,46.043
10010735153,46.630
10008193551,44.020
10010012000,47.722
10009734134,41.716
10010911975,45.372
10011212069,43.406
10003547049,36.959
10016172712,37.789
10009563069,
10060355303,
10014062556,
