uci,speed
10008827283,57.643
10006516663,58.566
10009404738,57.759
10007307417,57.200
10008723112,59.922
10010038167,58.971
10007656314,56.154
10008194965,56.264
10006429969,57.143
10008172636,56.875
10007544358,57.086
10005470073,55.585
10005415715,58.211
10009645925,58.566
10005855649,57.242
10004485929,58.329
10005386110,54.805
10003434386,56.004
10006909111,56.374
10008848505,56.319
10006413094,57.919
10009563271,56.540
10007287613,56.540
10005838875,56.484
10007692787,54.701
10008103322,57.086
10008728667,54.753
10007422100,55.639
10007327221,55.895
10009452935,57.817
10011016756,56.045
10005560003,56.540
10007405932,55.478
10002815812,58.270
10008168996,56.484
10009453642,54.597
10005852518,56.168
10008835569,56.429
10008059064,53.756
10076111537,57.143
10008169101,54.701
10008813442,57.428
10008169808,56.058
10004406107,55.895
10008586504,54.507
10007713403,55.572
10009895802,56.058
10006796549,57.200
10006949022,56.651
10011005743,54.962
10007392895,55.679
10007305090,53.039
10004035685,55.841
10008169505,57.044
10007455745,54.805
10011013928,56.651
10009826989,54.455
10006841413,57.817
10007710571,51.869
10009819313,56.168
10008617119,56.693
10003642635,
