,bib,id,name,q_rank,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points
0,7,2007,HRASTNIK Monika,1,73.227,163.425,211.41,268.223,307.522,7,29,Finished,10017602955,50.0
1,3,2003,SEAGRAVE Tahnee,2,71.443,160.969,221.185,278.939,317.281,3,33,Finished,10007414016,40.0
2,6,2006,SIEGENTHALER Emilie,3,72.738,166.147,215.734,274.703,317.619,6,30,Finished,10004167243,30.0
3,4,2004,HANNAH Tracey,4,75.624,171.334,220.538,278.554,318.365,4,32,Finished,10003732258,25.0
4,10,2010,SALAZAR Mariana,5,74.988,168.096,218.062,278.629,319.646,9,27,Finished,10007687838,20.0
5,2,2002,ATHERTON Rachel,6,70.628,161.877,233.374,292.343,332.22,2,34,Finished,10003434487,16.0
6,8,2008,CURD Katy,7,78.592,176.384,227.713,293.089,339.138,8,28,Finished,10006044292,14.0
7,16,2016,FARINA Eleonora,8,73.932,188.392,241.537,304.437,347.681,14,22,Finished,10010007855,12.0
8,11,2011,WIDMANN Veronika,9,78.411,188.636,246.418,310.525,351.39,10,26,Finished,10007423312,10.0
9,5,2005,CABIROU Marine,10,76.182,201.736,257.889,318.921,360.442,5,31,Finished,10009563069,5.0
10,20,2020,NOGUEIRA Camila,11,86.683,200.283,255.222,319.312,363.713,18,18,Finished,10008589635,
11,40,2040,WEATHERLY Kate,12,80.122,183.511,256.825,322.294,365.953,34,2,Finished,10073484352,
12,18,2018,HOFFMANN Nina Charlott,13,74.881,185.121,253.177,326.311,366.332,16,20,Finished,10015887065,
13,25,2025,HUBSCHER Janine,14,79.367,180.627,244.108,323.773,366.939,22,14,Finished,10059628813,
14,29,2029,MARCELLINI Alia,15,79.191,208.924,263.159,327.387,370.436,24,12,Finished,10006825649,
15,12,2012,A'HERN Sian,16,79.792,214.591,274.686,344.788,385.411,11,25,Finished,10010802043,
16,26,2026,FARIAS MARTINEZ Andrea Francisca,17,84.061,195.462,265.745,344.878,391.318,23,13,Finished,10053571565,
17,23,2023,ARMSTRONG Virginia,18,78.519,204.439,283.647,349.476,393.322,20,16,Finished,10052926416,
18,21,2021,BANDEIRA Margarida,19,85.415,226.609,282.86,351.232,394.773,19,17,Finished,10009023408,
19,33,2033,LEIVSDOTTIR Vera,20,82.441,198.612,283.87,356.227,401.354,28,8,Finished,10010898134,
20,13,2013,CAPPELLARI Carina,21,76.437,202.17,283.523,361.367,413.092,12,24,Finished,10006911535,
21,17,2017,CHAPPAZ Melanie,22,85.053,196.024,287.338,359.049,413.227,15,21,Finished,10011008066,
22,37,2037,BATTOLLA Eva,23,84.993,244.046,303.192,375.216,420.616,31,5,Finished,10010936631,
23,30,2030,BALANCHE Camille,24,88.363,193.682,306.843,377.941,423.346,25,11,Finished,10016567984,
24,32,2032,BJORKMAN Josefine,25,88.151,222.759,291.33,378.444,425.266,27,9,Finished,10007928015,
25,39,2039,PAGEAU Rachel,26,85.11,194.565,312.469,380.844,429.534,33,3,Finished,10008178595,
26,14,2014,MILLER Miranda,27,112.159,279.009,355.951,423.792,467.61,13,23,Finished,10005872726,
27,19,2019,RONNING Frida Helena,28,132.424,294.43,354.482,429.022,476.223,17,19,Finished,10008084326,
28,36,2036,GREEN Sumayyah,29,109.34,322.847,440.063,585.294,643.636,30,6,Finished,10016172712,
29,24,2024,RUTZ Lea Salome,30,,,,,,21,15,DNF,10010012000,
30,31,2031,ARACIL ALBA Blanca,31,,,,,,26,10,DNF,10009895701,
31,34,2034,MISSIAGGIA Alessia,32,,,,,,29,7,DNF,10011213786,
32,41,2041,STRAEDET Hilde,33,,,,,,35,1,DNF,10010681906,
33,1,2001,NICOLE Myriam,34,,,,,,1,35,DNS,10004535237,
34,38,2038,HARNDEN Catherine,35,,,,,,32,4,DNS,10010084546,
