name,uci,cost
Aaron Gwin,10006516663,625000
Troy Brosnan,10007307417,550000
Greg Minnaar,10002818640,525000
Loic Bruni,10007544358,475000
Loris Vergier,10008723112,400000
Danny Hart,10005470073,375000
Jack Moir,10008176575,350000
Mark Wallace,10008172636,325000
Laurie Greenland,10009404738,325000
Gee Atherton,10003434386,275000
Luca Shaw,10008813442,250000
Marcelo Gutierrez Villegas,10005855649,250000
Amaury Pierron,10008827283,250000
Remi Thirion,10005415715,250000
Michael Hannah,10002815812,225000
Florent Payet,10004035685,225000
Jure Zabjek,10008164855,210000
Bernard Kerr,10006413094,200000
Finn Iles,10076111537,200000
Martin Maes,10009453945,200000
Matt Walker,10011016756,200000
Baptiste Pierron,10008586504,200000
George Brannigan,10006834339,200000
Rudy Cabirou,10007714413,200000
Adam Brayton,10005386110,200000
Brook Macdonald,10006429969,200000
Dean Lucas,10008103322,200000
Connor Fearon,10007656314,200000
Philip Atwill,10008059064,190000
Rupert Chapman,10006841413,180000
Jacob Dickson,10009453642,180000
Charlie Hatton,10009897014,180000
Greg Williamson,10006909111,175000
Samuel Blenkinsop,10004485929,175000
Taylor Vernon,10008728667,175000
Charlie Harrison,10009645925,175000
Benoit Coulanges,10008194359,155000
Alexandre Fayolle,10008168996,150000
Jack Reading,10006576176,150000
Faustin Figaret,10007327221,150000
Thomas Estaque,10008848505,150000
Dakotah Norton,10010038167,150000
Brendan Fairclough,10003642635,150000
Joseph Smith,10005852518,140000
Neko Mulally,10007287613,135000
Gaetan Vige,10009826989,135000
Loris Revelli,10009443942,135000
Alex Marin,10009452935,135000
Eliot Jackson,10007423514,135000
Isak Leivsson,10007422100,125000
Slawomir Lukasik,10007405932,125000
Edward Masters,10005560003,120000
Michael Jones,10008194965,100000
David Trummer,10007713403,100000
Reece Wilson,10009563271,100000
Noel Niederberger,10007568913,90000
Stefan Garlicki,10006796549,90000
Forrest Riesco,10008550734,90000
Graeme Mudd,10007244264,75000
Johannes Fischbach,10004475825,70000
Benoit Cougoureux,10009449501,70000
Francesco Colombo,10008073010,65000
Shane Leslie,10008863962,65000
Dylan Levesque,10008831731,60000
Jackson Frew,10009895802,60000
Kiran Mackinnon,10007888104,60000
Thibault Laly,10009533464,60000
Thibaut Ruffin,10003396293,50000
Kenta Gallagher,10006812616,50000
Sylvain Cougoureux,10011080717,50000
Vasco Bica,10008101706,40000
Joshua Button,10005767844,40000
Lachlan Blair,10008827687,40000
Kirk McDowall,10008617119,40000
Jake Newell,10007488582,40000
Magnus Manson,10009819313,35000
Fraser McGlone,10007694306,30000
Bruce Klein,10010038571,30000
Gustavo Ortiz Vasquez,10008166067,30000
Roger Vieira,10009164258,30000
Janis Lehmann,10010012303,30000
Bryn Dickerson,10006949022,30000
Matthew Walker,10005838875,25000
Gaetan Ruffin,10007305090,25000
Jerome Caroli,10008172232,25000
Francisco Pardal,10006818171,25000
Wyn Masters,10004406107,25000
Melvin Pons,10007714514,25000
Jordan Prochyra,10010036551,20000
Joe Breeden,10011005743,15000
Keegan Wright,10009539831,10000
Remy Morton,10009843864,10000
Jasper Jauch,10007455745,10000
Stanislav Sehnal,10007710571,10000
Carlos Von Heyden Langelaan,10009896105,5000
Adam Rojek,10010032612,5000
Oscar Harnstrom,10006588001,5000
Silas Grandy,10044339185,5000
Shaun Richards,10008827788,5000
Felix Klee,10008552249,5000
Francesco Petrucci,10006770681,5000
Oliver Zwar,10008106857,5000
Guillaume Larbeyou,10008175969,5000
Maxime Ciriego,10009447073,5000
Jason Schroeder,10008862144,5000
Marco Milivinti,10003954449,5000
Josh Lowe,10007661566,5000
Ziga Pandur,10006826760,5000
